Article,Cohen's d,Correlation,Percentage,T-Score, Z-Score
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
test value,test,test,10%,0,0
